,content,query,tweetDate,twitterProfile
233,"Se solo osate buttare via sto derby............ 

#InterMilan #DerbyDellaMadoninna #ForzaMilan","['InterMilan', 'DerbyDellaMadoninna', 'ForzaMilan']",2020-02-09 20:36:31+00:00,122094340
234,Godo come un riccio appena nato #ForzaMilan #InterMilan,"['ForzaMilan', 'InterMilan']",2020-02-09 20:36:31+00:00,864923500695486465
236,Sempre Ibra!!,[],2020-02-09 20:36:35+00:00,166776136
238,RT @luigivit36: Ibra uno di noi. #Ibrahimovic #InterMilan #DerbyDellaMadonnina https://t.co/B91g1fdN0w,"['Ibrahimovic', 'InterMilan', 'DerbyDellaMadonnina']",2020-02-09 20:36:36+00:00,908360556012359680
239,⏱ FT | Sul duplice fischio i nerazzurri crollano. Il #Milan mette in discesa il #DerbyMilano.,"['Milan', 'DerbyMilano']",2020-02-09 20:36:37+00:00,832599259799285761
240,"RT @AntoVitiello: Gol di re Ibra, giocatore infinito: 2-0
#intermilan #derby #ibrahimovic","['intermilan', 'derby', 'ibrahimovic']",2020-02-09 20:36:39+00:00,1048883828
241,"45’ ⚽️ GOL!
GOOOOOOOOOOOOOLLL
DEEEEEEEEEELLLL
MIIIIIILAAAAAAAAAAANNNN!

ILLUMINA SAN SIRO,
CON IL NUMERO 21:

ZLAAA… https://t.co/MxjXj4fPcE",[],2020-02-09 20:36:39+00:00,504937310
242,RT @MilanWorldForum: Ronaldo chi? #InterMilan #IBRAHIMOVIC,"['InterMilan', 'IBRAHIMOVIC']",2020-02-09 20:36:41+00:00,1545256957
244,Superbo da milano! Merita pienamente il vantaggio per 0-2,[],2020-02-09 20:36:41+00:00,300963332
245,"RT @AntoVitiello: Gol di re Ibra, giocatore infinito: 2-0
#intermilan #derby #ibrahimovic","['intermilan', 'derby', 'ibrahimovic']",2020-02-09 20:36:43+00:00,951273821809664001
246,RT @BandieraInter: ⏱ FT | Sul duplice fischio i nerazzurri crollano. Il #Milan mette in discesa il #DerbyMilano.,"['Milan', 'DerbyMilano']",2020-02-09 20:36:43+00:00,4905761794
247,"""Uomo BAROMETRO, Bennacer"" 
Dal vostro Lele Adani è tutto

#InterMilan",['InterMilan'],2020-02-09 20:36:44+00:00,2596554763
248,MI VIENE DA PIANGERE,[],2020-02-09 20:36:45+00:00,710940738171871233
249,Tutti muti cazzo. TUTTI MUTIIIII! THE KING IZ BACK!!!!!! 🔴⚫️🔴⚫️⚽️ @Ibra_official #InterMilan #ACMilan… https://t.co/6TS0l9Uk8W,"['InterMilan', 'ACMilan']",2020-02-09 20:36:47+00:00,1605966830
250,@Antiniska_S_ Che bel Milan!!!!!! Ma ancora non è finita #ForzaMilan,['ForzaMilan'],2020-02-09 20:36:52+00:00,754395750499491840
251,"RT @AntoVitiello: Gol di re Ibra, giocatore infinito: 2-0
#intermilan #derby #ibrahimovic","['intermilan', 'derby', 'ibrahimovic']",2020-02-09 20:36:53+00:00,246840242
252,"SIAMO NOI, SOLO NOI, MILANO SIAMO NOI #ForzaMilan ❤️🖤",['ForzaMilan'],2020-02-09 20:36:53+00:00,167946513
253,"RT @AntoVitiello: Gol di re Ibra, giocatore infinito: 2-0
#intermilan #derby #ibrahimovic","['intermilan', 'derby', 'ibrahimovic']",2020-02-09 20:37:00+00:00,885495872380952580
254,Bennacer e Turco MVP tattici del primo tempo #InterMilan,['InterMilan'],2020-02-09 20:37:03+00:00,60393502
255,GRANDE MILAN!!! DAI RAGAZZI 🔴⚫,[],2020-02-09 20:37:04+00:00,635192718
257,"IBRAAAAAAAAAAA!!!

@Inter 
Pezzo di merda!",[],2020-02-09 20:37:05+00:00,1119342930957873152
258,"@MilanTV @TheoHernandez Dentro il nostro stadio,  sotto il nostro cielo,  Z. PUNTO E A CAPO NELLA NOTEA VITA ROSSON… https://t.co/M7sQUXFmZ0",[],2020-02-09 20:37:07+00:00,556895177
260,"Derby Della Madonnina😍

Merinding 🔥🔥🔥

#ForzaMilan 
#DerbyDellaMadonnina","['ForzaMilan', 'DerbyDellaMadonnina']",2020-02-09 20:37:08+00:00,1592723304
261,RT @Tonys981: Tutti muti cazzo. TUTTI MUTIIIII! THE KING IZ BACK!!!!!! 🔴⚫️🔴⚫️⚽️ @Ibra_official #InterMilan #ACMilan #DerbyDellaMadoninna #D…,"['InterMilan', 'ACMilan', 'DerbyDellaMadoninna']",2020-02-09 20:37:09+00:00,438694136
262,"Un primo tempo che non si vedeva da anni, con il Milan che domina letteralmente quelli là.

Davanti 2 tocchi e via,… https://t.co/FDl5gIy9Nq",[],2020-02-09 20:37:09+00:00,201222087
263,"RT @AntoVitiello: Gol di re Ibra, giocatore infinito: 2-0
#intermilan #derby #ibrahimovic","['intermilan', 'derby', 'ibrahimovic']",2020-02-09 20:37:11+00:00,476866628
264,"38 anni, 1 assist e 1 gol Eterno #ibrahimovic #milaninter #ibra","['ibrahimovic', 'milaninter', 'ibra']",2020-02-09 20:37:16+00:00,145370340
266,0-2 #Ibrahimovic !!! Un Milan da fantascienza o è l'Inter che fa cagare? #InterMilan https://t.co/5vgVomjnLY,"['Ibrahimovic', 'InterMilan']",2020-02-09 20:37:20+00:00,454936863
267,"GOLAAAAZOOOOOOOO ! INTER PEZZO DI MERDA ! 💩

#ForzaMilan",['ForzaMilan'],2020-02-09 20:37:21+00:00,3857539692
268,"Pioli sta disinnescando la costruzione dell'Inter in 3 mosse: lascia i 3 centrali liberi di impostare, attiva il pr… https://t.co/NgMViN4REP",[],2020-02-09 20:37:22+00:00,719672332
270,RAGAZZIIIIIII!!!! 🔥🔥,[],2020-02-09 20:37:25+00:00,390941173
271,"RT @TheoHernandez: Derby day ⚽🔥
FORZA @acmilan!!! SEMPRE 🔴⚫

#DerbyMilano #InterMilan
#IAMFútbol #TH1⃣9⃣ https://t.co/mNCdMIatNo","['DerbyMilano', 'InterMilan', 'IAMFútbol', 'TH1⃣9⃣']",2020-02-09 20:37:26+00:00,1206650444195319812
272,"@Mirko799 Bennacer è molto bravo pure,Rebic così così,classico croato discontinuo",[],2020-02-09 20:37:27+00:00,574014464
273,"RT @RadioSportiva: 🗣 #InterMilan, @EnzoBucchioni: ""@Ibra_official? E' diventato l'elemento determinante nel @acmilan. La squadra era carent…",['InterMilan'],2020-02-09 20:37:28+00:00,2207176598
274,"RT @Fantacalcio: #InterMilan GOL! Raddoppio rossonero col colpo di testa ravvicinato del grande ex #Ibrahimovic! 0-2 ⚽

#FantacalcioLIVE ►…","['InterMilan', 'Ibrahimovic', 'FantacalcioLIVE']",2020-02-09 20:37:32+00:00,51987125
276,"RT @AntoVitiello: Gol di re Ibra, giocatore infinito: 2-0
#intermilan #derby #ibrahimovic","['intermilan', 'derby', 'ibrahimovic']",2020-02-09 20:37:34+00:00,531515752
277,"ZETA. Inter non scesa in campo e per fortuna abbiam sfruttato il tutto, bene tutti in generale, Bennacer non perfet… https://t.co/N0hmFChZLC",[],2020-02-09 20:37:35+00:00,2959989195
278,"RT @MaestroJuventus: #Godin, il miglior difensore di sempre (A detta degli interisti e del suo osannatore nonché allenatore di subuteo #Ada…",['Godin'],2020-02-09 20:37:36+00:00,1116335696523005952
280,"Primo tempo di grande qualità, per intensità e qualità del gioco, molto migliore del solito. C’è ancora un tempo, d… https://t.co/cHJptA7gkR",[],2020-02-09 20:37:36+00:00,2373425109
