,content,query,tweetDate,twitterProfile
3923,#Lukaku goooooooolllllll 💦💦💦💦💦💦💦💦💦💦 #InterMilan 4-2 💥💥💥💥 https://t.co/Yb2kcNzTPY,#lukaku,2020-02-09 21:42:53+00:00,https://twitter.com/nicolasavoia
3854,#FinoAllaFine Romeluuuuuuuu #Lukaku ahahahahah https://t.co/Mz68QcBzVQ,#lukaku,2020-02-09 21:42:53+00:00,https://twitter.com/ilnumero31
4082,Rimontona al #Milan e super aggancio alla #Juve. Un #Inter senza mezze misure ritrova la vetta. Dalle stalle alle stelle nel derby (4-2). #Ibra star: gol e palo . E #Lukaku spegne i rossoneri al 93’,#lukaku,2020-02-09 21:42:54+00:00,https://twitter.com/carlolaudisa
3644,"⌚️ 90+3' | É MATADOOOOOR!!!

#Moses cruza, e #Lukaku, de cabeça, mata o jogo! E que jogo, #InterFans!!! 😄😄😄

#InterMilan 4️⃣-2️⃣
#DerbyMilano
#ForzaInter ⚫️🔵 https://t.co/oRSojrCafF",#lukaku,2020-02-09 21:42:59+00:00,https://twitter.com/Inter_br
3762,Man.. what a game. #lukaku seals it. #serieA is truly alive this season. #milanderby,#lukaku,2020-02-09 21:43:08+00:00,https://twitter.com/parm_9
4017,"#SerieAxESPN #Lukaku que golazoooo, Venga Inter https://t.co/ow2R3QQBxt",#lukaku,2020-02-09 21:43:08+00:00,https://twitter.com/ErickDiazReyes1
4087,#Lukaku #InterMilan https://t.co/aLUfa0wZxC,#lukaku,2020-02-09 21:43:12+00:00,https://twitter.com/MURITHIRAMADHAN
4849,"🇮🇹 Serie 🅰 - 23^ Giornata
🏟 #Inter 🆚 #Milan 4-2
⚽ #Rebic (40’)
⚽ #Ibrahimovic (45+1’)
⚽ #Brozovic (51’)
⚽ #Vecino (53’)
⚽ #deVrij (70’)
⚽ #Lukaku (90+3’)
➡ https://t.co/ZhUAhjSxyJ 
#SkySport #SkySerieA #InterMilan https://t.co/UuYwBzo6Pt",#brozovic,2020-02-09 21:43:18+00:00,https://twitter.com/SkySport
3653,"😅 | 90+3' - HOME AND DRY

@RomeluLukaku9 HEADS IN TO SECURE THE WIN!!!!!!!! 

PURE ELATION AT SAN SIRO! 😍

#InterMilan 4⃣-2⃣ #DerbyMilano
#FORZAINTER ⚫️🔵 https://t.co/rxqKG2MhlQ",#lukaku,2020-02-09 21:43:35+00:00,https://twitter.com/Inter_en
3656,Why did Man Utd sell #Lukaku again? https://t.co/S4PDMgTJhm,#lukaku,2020-02-09 21:43:38+00:00,https://twitter.com/Haharharry_
3765,محطه ضخمه في الهجوم #Lukaku https://t.co/M1BnXOZA6q,#lukaku,2020-02-09 21:43:38+00:00,https://twitter.com/AliBenSultan10
4096,Que derby más hp y yo que apostaba a #Ibrahimovic y terminó ganando #Lukaku #milaninter #MilanoDerby,#lukaku,2020-02-09 21:43:41+00:00,https://twitter.com/Fabricio2370
3787,"No more pazza #inter..

#intermilan #derby #ACMilan #DerbyDellaMadoninna #lukaku #ibrahimovic",#lukaku,2020-02-09 21:43:50+00:00,https://twitter.com/RanocchiateBlog
5110,"#SerieA, #InterMilan 4-2. I nerazzurri vincono in rimonta grazie alle reti di #Brozovic, #Vecino, #DeVrij e #Lukaku

https://t.co/RlfFVQqcqI",#brozovic,2020-02-09 21:43:55+00:00,https://twitter.com/PagineRomaniste
4010,"#Lukaku 
#alexis 
And #Young are balling and destroying the likes of #zlatan 's #Milan .

But obviously, they're not good enough for #ManUtd .

#Ole , we hail you.
#Conte  the master tacticians. 

#InterMilan .",#lukaku,2020-02-09 21:43:55+00:00,https://twitter.com/enwerem_divine
